ConsentKey,EmployeeNaturalKey,CountryCode,ConsentType,ConsentStatus,ConsentChannel,EffectiveFromDate,EffectiveToDate,IsCurrent,ChangeReason,HashValue
1,EMP0000688923,US,Service Delivery,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,11233507410580160837
2,EMP0000688923,US,Analytics,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,336230977665275450
3,EMP0000688923,US,Marketing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,371866409653788159
4,EMP0000688923,US,Research,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,3071656095396336567
5,EMP0000688923,US,Data Sharing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,7083889348994418477
6,EMP0000886361,US,Service Delivery,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,3983916675613507135
7,EMP0000886361,US,Analytics,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,16266413726904550702
8,EMP0000886361,US,Marketing,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,10953371104831821295
9,EMP0000886361,US,Research,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,11765210808725428545
10,EMP0000886361,US,Data Sharing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,11254955410268647424
11,EMP0000464823,US,Service Delivery,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,1101922657097798126
12,EMP0000464823,US,Analytics,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,15673357112121600365
13,EMP0000464823,US,Marketing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,7695569888950803637
14,EMP0000464823,US,Research,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,7485208024218083026
15,EMP0000464823,US,Data Sharing,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,15552551151964614942
16,EMP0000655214,US,Service Delivery,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,4851955205852175268
17,EMP0000655214,US,Analytics,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,8292192878817488353
18,EMP0000655214,US,Marketing,Declined,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,3791408548044012608
19,EMP0000655214,US,Research,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,3102190746152489489
20,EMP0000655214,US,Data Sharing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,2169994966621655315
21,EMP0000454666,US,Service Delivery,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,16216109957974473700
22,EMP0000454666,US,Analytics,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,2788045897256223828
23,EMP0000454666,US,Marketing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,3150593967327914172
24,EMP0000454666,US,Research,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,7331456758745871972
25,EMP0000454666,US,Data Sharing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,7341938285497641357
26,EMP0000047297,US,Service Delivery,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,11532908307453712220
27,EMP0000047297,US,Analytics,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,6677166100869480686
28,EMP0000047297,US,Marketing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,17866469056095846641
29,EMP0000047297,US,Research,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,1121232707995517399
30,EMP0000047297,US,Data Sharing,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,6983484744272362872
31,EMP0000703464,ZA,Service Delivery,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,17558124907762983350
32,EMP0000703464,ZA,Analytics,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,9285442547906525310
33,EMP0000703464,ZA,Marketing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,15399782894144482005
34,EMP0000703464,ZA,Research,Declined,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,2672891064111763190
35,EMP0000703464,ZA,Data Sharing,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,4264007291783535281
36,EMP0000969327,US,Service Delivery,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,1606286693569178562
37,EMP0000969327,US,Analytics,Granted,Mobile App,2024-01-01,9999-12-31,1,Initial Consent,10107612718008636717
38,EMP0000969327,US,Marketing,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,1702165870790099381
39,EMP0000969327,US,Research,Granted,HR Upload,2024-01-01,9999-12-31,1,Initial Consent,18150116860627019363
40,EMP0000969327,US,Data Sharing,Granted,Web Portal,2024-01-01,9999-12-31,1,Initial Consent,15621478932929181127
41,EMP0000246521,US,Service Delivery,Granted,Call Centre,2024-01-01,9999-12-31,1,Initial Consent,712017451063677410
