FacilityKey,Facility Type,Latitude,Longitude,CountryCode,CountryName,GlobalRegion,SubRegion,CurrencyCode,PrivacyRegime,ProvinceState,City,LyraFacilityType,ActiveFlag
1,Hospital,5.593051172162835,3.6970074354815217,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Austin,In-Person Counselling Centre,1
2,Hospital,10.01756906139408,9.921846234977282,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,British Columbia,Toronto,In-Person Counselling Centre,1
3,Hospital,7.568807701687042,11.178650786309912,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Pretoria,Digital Care Hub,1
4,Hospital,11.57456719544622,12.594134984190545,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Johannesburg,Telephone Counselling Centre,1
5,Hospital,6.093634303928882,9.334974717175706,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Austin,Digital Care Hub,1
6,Hospital,4.697225835628155,10.724419645206533,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,New York,In-Person Counselling Centre,1
7,Hospital,6.229633587769467,8.608930592846766,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Miami,Corporate Wellness Site,1
8,Hospital,7.305192328171373,8.854772811098668,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Western Australia,Perth,Telephone Counselling Centre,1
9,Hospital,12.344506998799671,13.086979216797712,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Bloemfontein,Digital Care Hub,1
10,Hospital,5.858643334057811,6.311904299685715,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Cape Town,In-Person Counselling Centre,1
11,Primary Care Center,9.868023858622411,14.338512521769582,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Seattle,Digital Care Hub,1
12,Primary Care Center,10.153403029390656,4.542435224166499,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Quebec,Montreal,Telephone Counselling Centre,1
13,Primary Care Center,9.8994531273852,7.39682142601457,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Northern Ireland,Manchester,Digital Care Hub,1
14,Primary Care Center,10.61172753728869,11.76155603030724,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Austin,Digital Care Hub,1
15,Primary Care Center,13.589522909928212,4.735938864773079,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Miami,Digital Care Hub,1
16,Primary Care Center,5.353375049357906,5.399552675768428,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Seattle,Digital Care Hub,1
17,Primary Care Center,8.758567070460828,9.079422585433376,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Seattle,Digital Care Hub,1
18,Primary Care Center,12.807394261532163,11.9539597623729,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Seattle,Corporate Wellness Site,1
19,Primary Care Center,7.124467449904785,3.2068160846506024,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Austin,Telephone Counselling Centre,1
20,Primary Care Center,11.39744411449681,8.086612148889644,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Miami,Corporate Wellness Site,1
21,Primary Care Center,11.851614335063871,10.443920392921305,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Johannesburg,In-Person Counselling Centre,1
22,Primary Care Center,7.529655448280327,7.983168397777357,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,New York,Telephone Counselling Centre,1
23,Primary Care Center,12.46641415266236,10.842538533477258,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Austin,Telephone Counselling Centre,1
24,Primary Care Center,11.35115132772112,7.819041176386973,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Seattle,In-Person Counselling Centre,1
25,Primary Care Center,10.003620433983295,9.14281320005155,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Los Angeles,Corporate Wellness Site,1
26,Primary Care Center,13.340631956096091,8.069514287018283,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Northern Ireland,Edinburgh,Digital Care Hub,1
27,Primary Care Center,12.34273549474029,6.869230601337367,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Austin,Corporate Wellness Site,1
28,Primary Care Center,13.732965787149954,9.672254141796724,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Miami,In-Person Counselling Centre,1
29,Primary Care Center,4.672132142151794,11.715453509182645,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Johannesburg,In-Person Counselling Centre,1
30,Primary Care Center,6.853543586417253,4.695705006955515,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Austin,Telephone Counselling Centre,1
