MedicationSalesKey,MedicationSalesID,Date_Sold,Med_name,Med_class,Quantity_Sold,Price,DateKey,CountryCode,CountryKey,CountryName,GlobalRegion,CurrencyCode,MentalHealthMedicationFlag,TherapeuticClass,MedicationName,MedicationKey,ClientCompanyKey,ClientCompanyName,IndustrySectorName,MedicationSalesAmountLocal,MedicationSalesAmountZAR,PrescriptionRequiredFlag,TreatmentType,LoadDTS
1,MEDSALE000000001,2021-05-07,Clotrimazole Topical Cream (2%), Antifungal,66,86.9,20210507,US,1,United States,North America,USD,0, Antifungal,Clotrimazole Topical Cream,1,9,US Financial Services Employer,Financial Services,5735.4,106104.9,0,General Healthcare Medication,2026-05-26 09:14:55
2,MEDSALE000000002,2021-08-09,Alprostadil Urethral Suppository (125 mcg), Prostaglandin E1 Analog,15,22.9,20210809,US,1,United States,North America,USD,0, Prostaglandin E1 Analog,Alprostadil Urethral Suppository,2,8,US Healthcare Employer,Healthcare,343.5,6354.75,0,General Healthcare Medication,2026-05-26 09:14:55
3,MEDSALE000000003,2021-06-15,Methyltestosterone Tablet (10 mg), Androgen Hormone,5,5.9,20210615,ZA,2,South Africa,Africa,ZAR,0, Androgen Hormone,Methyltestosterone Tablet,3,3,Vodacom,Telecommunications,29.5,29.5,0,General Healthcare Medication,2026-05-26 09:14:55
4,MEDSALE000000004,2021-02-19,Buspirone Tablet (5 mg), Anxiolytic,89,55.7,20210219,US,1,United States,North America,USD,1, Anxiolytic,Buspirone Tablet,4,16,Global Logistics Employer,Logistics and Supply Chain,4957.3,91710.05,1,Mental Health Medication,2026-05-26 09:14:55
5,MEDSALE000000005,2022-09-24,Hydrocodone/Acetaminophen Tablet (5/325 mg), Opioid Analgesic/Analgesic Combination,79,0.7,20220924,US,1,United States,North America,USD,0, Opioid Analgesic/Analgesic Combination,Hydrocodone/Acetaminophen Tablet,5,8,US Healthcare Employer,Healthcare,55.3,1023.05,1,General Healthcare Medication,2026-05-26 09:14:55
6,MEDSALE000000006,2021-08-27,Ipratropium/Albuterol Inhaler (18/90 mcg/actuation), Anticholinergic/Short-Acting Beta-2 Agonist Combination,85,32.4,20210827,US,1,United States,North America,USD,0, Anticholinergic/Short-Acting Beta-2 Agonist Combination,Ipratropium/Albuterol Inhaler,6,8,US Healthcare Employer,Healthcare,2754.0,50949.0,0,General Healthcare Medication,2026-05-26 09:14:55
7,MEDSALE000000007,2018-10-22,Norepinephrine Injection (2 mg/mL), Sympathomimetic,96,80.6,20181022,US,1,United States,North America,USD,0, Sympathomimetic,Norepinephrine Injection,7,9,US Financial Services Employer,Financial Services,7737.6,143145.6,0,General Healthcare Medication,2026-05-26 09:14:55
8,MEDSALE000000008,2019-09-12,Desoximetasone Topical Cream (0.25%), Mid-Potency Corticosteroid,56,45.5,20190912,US,1,United States,North America,USD,0, Mid-Potency Corticosteroid,Desoximetasone Topical Cream,8,7,US Technology Employer,Technology,2548.0,47138.0,0,General Healthcare Medication,2026-05-26 09:14:55
9,MEDSALE000000009,2022-05-19,Rofecoxib Tablet (25 mg), Nonsteroidal Anti-Inflammatory Drug,32,21.2,20220519,UK,3,United Kingdom,Europe,GBP,0, Nonsteroidal Anti-Inflammatory Drug,Rofecoxib Tablet,9,11,UK Financial Services Employer,Financial Services,678.4,15942.4,0,General Healthcare Medication,2026-05-26 09:14:55
10,MEDSALE000000010,2019-07-21,Fluticasone Inhaler (50 mcg/actuation), Inhaled Corticosteroid,71,9.6,20190721,ZA,2,South Africa,Africa,ZAR,0, Inhaled Corticosteroid,Fluticasone Inhaler,10,6,South African Public Sector Employer,Public Sector,681.6,681.6,0,General Healthcare Medication,2026-05-26 09:14:55
11,MEDSALE000000011,2020-05-17,Tiotropium Inhaler (18 mcg/actuation), Anticholinergic,77,21.8,20200517,US,1,United States,North America,USD,0, Anticholinergic,Tiotropium Inhaler,11,7,US Technology Employer,Technology,1678.6,31054.1,0,General Healthcare Medication,2026-05-26 09:14:55
12,MEDSALE000000012,2022-12-31,Terazosin Tablet (10 mg), Alpha-Blocker,13,6.3,20221231,US,1,United States,North America,USD,0, Alpha-Blocker,Terazosin Tablet,12,8,US Healthcare Employer,Healthcare,81.9,1515.15,0,General Healthcare Medication,2026-05-26 09:14:55
13,MEDSALE000000013,2019-03-29,Triamcinolone Inhaler (55 mcg/actuation), Inhaled Corticosteroid,71,3.2,20190329,UK,3,United Kingdom,Europe,GBP,0, Inhaled Corticosteroid,Triamcinolone Inhaler,13,11,UK Financial Services Employer,Financial Services,227.2,5339.2,0,General Healthcare Medication,2026-05-26 09:14:55
14,MEDSALE000000014,2019-08-23,Doxazosin Tablet (1 mg), Alpha-Blocker,78,86.1,20190823,ZA,2,South Africa,Africa,ZAR,0, Alpha-Blocker,Doxazosin Tablet,14,2,Discovery Limited,Financial Services,6715.8,6715.8,0,General Healthcare Medication,2026-05-26 09:14:55
15,MEDSALE000000015,2023-04-30,Zolpidem Tablet (10 mg), Sedative-Hypnotic,63,1.6,20230430,US,1,United States,North America,USD,1, Sedative-Hypnotic,Zolpidem Tablet,15,16,Global Logistics Employer,Logistics and Supply Chain,100.8,1864.8,0,Mental Health Medication,2026-05-26 09:14:55
16,MEDSALE000000016,2021-08-10,Triamterene/Hydrochlorothiazide Capsule (37, Diuretic/Thiazide Diuretic Combination,9,22.7,20210810,US,1,United States,North America,USD,0, Diuretic/Thiazide Diuretic Combination,Triamterene/Hydrochlorothiazide Capsule (37,16,7,US Technology Employer,Technology,204.3,3779.55,0,General Healthcare Medication,2026-05-26 09:14:55
17,MEDSALE000000017,2022-04-14,Dopamine Injection (200 mg/mL), Sympathomimetic,94,44.1,20220414,US,1,United States,North America,USD,0, Sympathomimetic,Dopamine Injection,17,8,US Healthcare Employer,Healthcare,4145.4,76689.9,0,General Healthcare Medication,2026-05-26 09:14:55
18,MEDSALE000000018,2018-11-28,Tretinoin/Clindamycin Topical Gel (0.025/1%), Retinoid/Antibiotic Combination,24,10.0,20181128,AU,4,Australia,Asia-Pacific,AUD,0, Retinoid/Antibiotic Combination,Tretinoin/Clindamycin Topical Gel,18,12,Australian Mining Employer,Mining,240.0,2928.0,0,General Healthcare Medication,2026-05-26 09:14:55
19,MEDSALE000000019,2021-09-07,Anastrozole Tablet (1 mg), Aromatase Inhibitor,71,97.3,20210907,US,1,United States,North America,USD,0, Aromatase Inhibitor,Anastrozole Tablet,19,16,Global Logistics Employer,Logistics and Supply Chain,6908.3,127803.55,0,General Healthcare Medication,2026-05-26 09:14:55
20,MEDSALE000000020,2020-12-18,Triamcinolone Topical Ointment (0.1%), Corticosteroid,30,27.0,20201218,US,1,United States,North America,USD,0, Corticosteroid,Triamcinolone Topical Ointment,20,8,US Healthcare Employer,Healthcare,810.0,14985.0,0,General Healthcare Medication,2026-05-26 09:14:55
21,MEDSALE000000021,2023-02-25,Finasteride Tablet (5 mg), 5-Alpha Reductase Inhibitor,27,16.0,20230225,UK,3,United Kingdom,Europe,GBP,0, 5-Alpha Reductase Inhibitor,Finasteride Tablet,21,11,UK Financial Services Employer,Financial Services,432.0,10152.0,0,General Healthcare Medication,2026-05-26 09:14:55
22,MEDSALE000000022,2022-11-22,Testosterone Gel (1%), Androgen Hormone,24,96.1,20221122,ZA,2,South Africa,Africa,ZAR,0, Androgen Hormone,Testosterone Gel,22,6,South African Public Sector Employer,Public Sector,2306.4,2306.4,0,General Healthcare Medication,2026-05-26 09:14:55
23,MEDSALE000000023,2019-06-19,Spironolactone Tablet (50 mg), Potassium-Sparing Diuretic,26,59.5,20190619,US,1,United States,North America,USD,0, Potassium-Sparing Diuretic,Spironolactone Tablet,23,7,US Technology Employer,Technology,1547.0,28619.5,0,General Healthcare Medication,2026-05-26 09:14:55
24,MEDSALE000000024,2021-01-09,Triamcinolone Tablet (4 mg), Corticosteroid,36,3.3,20210109,US,1,United States,North America,USD,0, Corticosteroid,Triamcinolone Tablet,24,9,US Financial Services Employer,Financial Services,118.8,2197.8,0,General Healthcare Medication,2026-05-26 09:14:55
25,MEDSALE000000025,2019-01-04,Finasteride Tablet (5 mg), 5-Alpha Reductase Inhibitor,15,75.9,20190104,UK,3,United Kingdom,Europe,GBP,0, 5-Alpha Reductase Inhibitor,Finasteride Tablet,21,11,UK Financial Services Employer,Financial Services,1138.5,26754.75,0,General Healthcare Medication,2026-05-26 09:14:55
26,MEDSALE000000026,2020-07-01,Alprostadil Injection (20 mcg/mL), Prostaglandin E1 Analog,2,37.1,20200701,UK,3,United Kingdom,Europe,GBP,0, Prostaglandin E1 Analog,Alprostadil Injection,25,11,UK Financial Services Employer,Financial Services,74.2,1743.7,0,General Healthcare Medication,2026-05-26 09:14:55
27,MEDSALE000000027,2021-04-09,Fentanyl Patch (25 mcg/h), Opioid Analgesic,91,11.0,20210409,ZA,2,South Africa,Africa,ZAR,0, Opioid Analgesic,Fentanyl Patch,26,6,South African Public Sector Employer,Public Sector,1001.0,1001.0,1,General Healthcare Medication,2026-05-26 09:14:55
28,MEDSALE000000028,2023-02-06,Meloxicam Tablet (15 mg), Nonsteroidal Anti-Inflammatory Drug,4,74.5,20230206,UK,3,United Kingdom,Europe,GBP,0, Nonsteroidal Anti-Inflammatory Drug,Meloxicam Tablet,27,11,UK Financial Services Employer,Financial Services,298.0,7003.0,0,General Healthcare Medication,2026-05-26 09:14:55
29,MEDSALE000000029,2021-11-19,Sildenafil Tablet (50 mg), Phosphodiesterase Type 5 Inhibitor,22,52.6,20211119,ZA,2,South Africa,Africa,ZAR,0, Phosphodiesterase Type 5 Inhibitor,Sildenafil Tablet,28,6,South African Public Sector Employer,Public Sector,1157.2,1157.2,0,General Healthcare Medication,2026-05-26 09:14:55
30,MEDSALE000000030,2020-03-21,Tamoxifen Tablet (20 mg), Selective Estrogen Receptor Modulator,8,46.1,20200321,ZA,2,South Africa,Africa,ZAR,0, Selective Estrogen Receptor Modulator,Tamoxifen Tablet,29,3,Vodacom,Telecommunications,368.8,368.8,0,General Healthcare Medication,2026-05-26 09:14:55
31,MEDSALE000000031,2021-03-17,Adapalene/Benzoyl Peroxide Topical Gel (0.1/2.5%), Retinoid/Acne Treatment Combination,54,35.9,20210317,UK,3,United Kingdom,Europe,GBP,0, Retinoid/Acne Treatment Combination,Adapalene/Benzoyl Peroxide Topical Gel,30,11,UK Financial Services Employer,Financial Services,1938.6,45557.1,0,General Healthcare Medication,2026-05-26 09:14:55
32,MEDSALE000000032,2020-09-29,Dutasteride Capsule (0.5 mg), 5-Alpha Reductase Inhibitor,30,59.1,20200929,US,1,United States,North America,USD,0, 5-Alpha Reductase Inhibitor,Dutasteride Capsule,31,16,Global Logistics Employer,Logistics and Supply Chain,1773.0,32800.5,0,General Healthcare Medication,2026-05-26 09:14:55
33,MEDSALE000000033,2018-12-03,"Nystatin Cream (100,000 units/g)", Antifungal,32,59.4,20181203,ZA,2,South Africa,Africa,ZAR,0, Antifungal,Nystatin Cream,32,5,Sasol,Energy,1900.8,1900.8,0,General Healthcare Medication,2026-05-26 09:14:55
34,MEDSALE000000034,2021-10-27,Lamotrigine Tablet (100 mg), Anticonvulsant,79,36.3,20211027,US,1,United States,North America,USD,0, Anticonvulsant,Lamotrigine Tablet,33,9,US Financial Services Employer,Financial Services,2867.7,53052.45,0,General Healthcare Medication,2026-05-26 09:14:55
35,MEDSALE000000035,2022-09-17,Adapalene/Benzoyl Peroxide Topical Gel (0.1/2.5%), Retinoid/Acne Treatment Combination,95,34.3,20220917,US,1,United States,North America,USD,0, Retinoid/Acne Treatment Combination,Adapalene/Benzoyl Peroxide Topical Gel,30,16,Global Logistics Employer,Logistics and Supply Chain,3258.5,60282.25,0,General Healthcare Medication,2026-05-26 09:14:55
36,MEDSALE000000036,2021-09-14,Halobetasol Topical Ointment (0.05%), High-Potency Corticosteroid,67,7.3,20210914,CA,5,Canada,North America,CAD,0, High-Potency Corticosteroid,Halobetasol Topical Ointment,34,14,Canadian Technology Employer,Technology,489.1,6651.76,0,General Healthcare Medication,2026-05-26 09:14:55
