EmployeeNaturalKey,CountryCode,ConsentType,ConsentStatus,ConsentChannel,ChangeReason
EMP0000001867,US,Analytics,Granted,Mobile App,Initial Consent
EMP0000001867,US,Data Sharing,Granted,Mobile App,Initial Consent
EMP0000001867,US,Marketing,Granted,HR Upload,Initial Consent
EMP0000001867,US,Research,Granted,HR Upload,Initial Consent
EMP0000001867,US,Service Delivery,Granted,HR Upload,Initial Consent
EMP0000022972,US,Analytics,Granted,Mobile App,Initial Consent
EMP0000022972,US,Data Sharing,Granted,Mobile App,Initial Consent
EMP0000022972,US,Marketing,Granted,HR Upload,Initial Consent
EMP0000022972,US,Research,Declined,Web Portal,Initial Consent
EMP0000022972,US,Service Delivery,Granted,Web Portal,Initial Consent
EMP0000030084,CA,Analytics,Declined,HR Upload,Initial Consent
EMP0000030084,CA,Data Sharing,Granted,Web Portal,Initial Consent
EMP0000030084,CA,Marketing,Granted,HR Upload,Initial Consent
EMP0000030084,CA,Research,Granted,Web Portal,Initial Consent
EMP0000030084,CA,Service Delivery,Granted,Call Centre,Initial Consent
EMP0000042078,ZA,Analytics,Granted,HR Upload,Initial Consent
EMP0000042078,ZA,Data Sharing,Granted,HR Upload,Initial Consent
EMP0000042078,ZA,Marketing,Granted,Mobile App,Initial Consent
EMP0000042078,ZA,Research,Declined,HR Upload,Initial Consent
EMP0000042078,ZA,Service Delivery,Granted,Call Centre,Initial Consent
EMP0000047297,US,Analytics,Granted,HR Upload,Initial Consent
EMP0000047297,US,Data Sharing,Granted,Mobile App,Initial Consent
EMP0000047297,US,Marketing,Granted,Call Centre,Initial Consent
EMP0000047297,US,Research,Granted,Web Portal,Initial Consent
EMP0000047297,US,Service Delivery,Granted,HR Upload,Initial Consent
EMP0000065222,UK,Analytics,Granted,Web Portal,Initial Consent
EMP0000065222,UK,Data Sharing,Declined,Web Portal,Initial Consent
EMP0000065222,UK,Marketing,Granted,HR Upload,Initial Consent
EMP0000065222,UK,Research,Declined,Mobile App,Initial Consent
EMP0000065222,UK,Service Delivery,Granted,Web Portal,Initial Consent
EMP0000091567,US,Analytics,Granted,HR Upload,Initial Consent
EMP0000091567,US,Data Sharing,Granted,Web Portal,Initial Consent
EMP0000091567,US,Marketing,Granted,HR Upload,Initial Consent
EMP0000091567,US,Research,Declined,Mobile App,Initial Consent
EMP0000091567,US,Service Delivery,Granted,HR Upload,Initial Consent
EMP0000095669,US,Analytics,Granted,HR Upload,Initial Consent
EMP0000095669,US,Data Sharing,Granted,Call Centre,Initial Consent
EMP0000095669,US,Marketing,Granted,Web Portal,Initial Consent
EMP0000095669,US,Research,Granted,HR Upload,Initial Consent
EMP0000095669,US,Service Delivery,Granted,Web Portal,Initial Consent
EMP0000107694,CA,Analytics,Granted,Web Portal,Initial Consent
EMP0000107694,CA,Data Sharing,Granted,Call Centre,Initial Consent
EMP0000107694,CA,Marketing,Granted,Call Centre,Initial Consent
EMP0000107694,CA,Research,Granted,Mobile App,Initial Consent
EMP0000107694,CA,Service Delivery,Granted,Call Centre,Initial Consent
EMP0000122029,US,Analytics,Granted,Mobile App,Initial Consent
EMP0000122029,US,Data Sharing,Declined,Call Centre,Initial Consent
EMP0000122029,US,Marketing,Granted,Mobile App,Initial Consent
EMP0000122029,US,Research,Granted,Web Portal,Initial Consent
EMP0000122029,US,Service Delivery,Granted,Web Portal,Initial Consent
EMP0000159835,UK,Analytics,Granted,Mobile App,Initial Consent
EMP0000159835,UK,Data Sharing,Granted,HR Upload,Initial Consent
EMP0000159835,UK,Marketing,Granted,HR Upload,Initial Consent
EMP0000159835,UK,Research,Granted,HR Upload,Initial Consent
EMP0000159835,UK,Service Delivery,Granted,Mobile App,Initial Consent
EMP0000164927,US,Analytics,Granted,Call Centre,Initial Consent
EMP0000164927,US,Data Sharing,Declined,Call Centre,Initial Consent
EMP0000164927,US,Marketing,Granted,Call Centre,Initial Consent
EMP0000164927,US,Research,Granted,Web Portal,Initial Consent
EMP0000164927,US,Service Delivery,Granted,Mobile App,Initial Consent
EMP0000165476,US,Analytics,Granted,Call Centre,Initial Consent
EMP0000165476,US,Data Sharing,Granted,Mobile App,Initial Consent
EMP0000165476,US,Marketing,Granted,Web Portal,Initial Consent
EMP0000165476,US,Research,Granted,Web Portal,Initial Consent
EMP0000165476,US,Service Delivery,Declined,Mobile App,Initial Consent
EMP0000173739,UK,Analytics,Granted,Call Centre,Initial Consent
EMP0000173739,UK,Data Sharing,Granted,Web Portal,Initial Consent
EMP0000173739,UK,Marketing,Granted,Web Portal,Initial Consent
EMP0000173739,UK,Research,Declined,Web Portal,Initial Consent
EMP0000173739,UK,Service Delivery,Granted,Mobile App,Initial Consent
EMP0000195309,US,Analytics,Granted,HR Upload,Initial Consent
EMP0000195309,US,Data Sharing,Granted,Web Portal,Initial Consent
EMP0000195309,US,Marketing,Declined,Call Centre,Initial Consent
EMP0000195309,US,Research,Declined,Web Portal,Initial Consent
